Weapon,Hash,Perks,PerkHashes,Tags,Notes,Name,Description
"Permafrost","2922964484","Field-Tested | Reaper's Tithe | Reaper's Tithe | Demolitionist | Rimestealer | Crystalline Corpsebloom | High-Velocity Rounds | Field-Tested | Rimestealer | High-Velocity Rounds | Crystalline Corpsebloom | Quick Launch | Demolitionist | Quick Launch","1064478151|113508675|177189259|1906147653|1955165503|2078520142|2108812838|2120661319|2617553311|2822142346|2922950962|3250572790|3523296417|3525010810","GodPVE","","Permafrost PVE God Roll","Barrel: Quick Launch
Magazine: High-Velocity Rounds
Perk 1: Rimestealer (also good: Demolitionist)
Perk 2: Crystalline Corpsebloom (also good: Reaper’s Tithe)
Masterwork: Handling or Reload Speed
Origin Trait: Field-Tested"
"Corundum Hammer","2263462407","Fluted Barrel | Firefly | Flared Magwell | Fluted Barrel | Fleet Footed | Shoot to Loot | Explosive Payload | Sword Logic | Flared Magwell | Tear | Slice | Shoot to Loot | Firefly | Sword Logic | Explosive Payload | Fleet Footed | Slice | Tear","1124871858|1183436451|1709045111|1840239774|1939575288|2840833776|3038247973|31345821|3230963543|3244229373|3422796781|3700496672|3824105627|639190697|64866129|65797256|923806249|960997401","GodPVE","","Corundum Hammer PVE God Roll","Barrel: Fluted Barrel
Magazine: Flared Magwell
Perk 1: Firefly or Slice (also good: Shoot to Loot)
Perk 2: Sword Logic or Explosive Payload (also good: Tear)
Masterwork: Reload Speed
Origin Trait: Fleet Footed"
"Corundum Hammer","2263462407","Opening Shot | Smallbore | Fragile Focus | Roar of Battle | Slideshot | Fragile Focus | Smallbore | Explosive Payload | Accurized Rounds | Slideshot | Accurized Rounds | Roar of Battle | Opening Shot | Explosive Payload","1370847713|1482024992|1609056795|1673863459|191144788|2451262963|2860123632|3038247973|3142289711|3161816588|3267421167|4236235115|47981717|64866129","GodPVP","","Corundum Hammer PVP God Roll","Barrel: Smallbore
Magazine: Accurized Rounds
Perk 1: Slideshot (also good: Fragile Focus)
Perk 2: Opening Shot or Explosive Payload
Masterwork: Stability
Origin Trait: Roar of Battle"
"Sarpedon-D","1242785638","Appended Mag | Appended Mag | Trickle Charge | Barrel Shroud | Trench Barrel | Barrel Shroud | Trench Barrel | Rolling Storm | One-Two Punch | Rolling Storm | Proximity Power | Trickle Charge | One-Two Punch | Proximity Power","1065371964|1087426260|1115162408|1300023272|2360754333|2371713880|2459015849|2633604463|2679249093|3218042543|4190679284|511499160|788178929|820036316","GodPVE","","Sarpedon-D PVE God Roll","Barrel: Barrel Shroud
Magazine: Appended Mag
Perk 1: Trickle Charge (also good: Proximity Power)
Perk 2: Rolling Storm (also good: One-Two Punch, Trench Barrel)
Masterwork: Handling"
"Sarpedon-D","1242785638","Desperate Measures | Desperate Measures | Accurized Rounds | Accurized Rounds | To the Pain | To the Pain | Smoothbore | Smoothbore","2109543898|2799030358|3142289711|3267421167|3416609154|3938834702|466087222|905499626","GodPVP","","Sarpedon-D PVP God Roll","Barrel: Smoothbore
Magazine: Accurized Rounds
Perk 1: To the Pain
Perk 2: Desperate Measures
Masterwork: Range"
"Voltaic Shade","71057630","Overclocked Heatsink | Trickle Charge | Fluted Barrel | Imperial Allegiance | Voltshot | Fluted Barrel | Desperate Measures | Voltshot | Overclocked Heatsink | Desperate Measures | Imperial Allegiance | Jolting Feedback | Meganeura | Trickle Charge | Meganeura | Jolting Feedback","1092016998|1115162408|1124871858|1164078247|1720528630|1840239774|2109543898|2173046394|226831738|2799030358|2957461671|3966416502|4196156997|511499160|657025441|717070634","GodPVE","","Voltaic Shade PVE God Roll","Barrel: Fluted Barrel
Magazine: Overclocked Heatsink
Perk 1: Jolting Feedback or Trickle Charge
Perk 2: Meganuera or Voltshot (also good: Desperate Measures)
Masterwork: Cooling Efficiency"
"Voltaic Shade","71057630","Imperial Allegiance | Delicate Tuning | Imperial Allegiance | Frenzy | Arrowhead Brake | Delicate Tuning | Keep Away | Tactical Heatsink | Precision Instrument | Keep Away | Frenzy | Precision Instrument | Tactical Heatsink | Arrowhead Brake","1164078247|1341464476|2957461671|3007133316|3048246338|307683764|3198323828|3210123846|332733060|3619207468|4104185692|555281244|769709866|839105230","GodPVP","","Voltaic Shade PVP God Roll","Barrel: Arrowhead Break
Magazine: Tactical Heatsink
Perk 1: Delicate Tuning or Keep Away
Perk 2: Precision Instrument or Frenzy
Masterwork: Range"
"Zealous Ideal","1863583117","Overclocked Heatsink | Fluted Barrel | Fluted Barrel | Overclocked Heatsink | Attrition Orbs | Incandescent | Burning Ambition | Heal Clip | Burning Ambition | Heal Clip | Incandescent | Onslaught | Onslaught | Attrition Orbs","1092016998|1124871858|1840239774|226831738|243981275|2675184851|2890807135|3017780555|3581929919|4223976499|4293542123|95528736|956288240|984655331","GodPVE","","Zealous Ideal PVE God Roll","Barrel: Fluted Barrel
Magazine: Overclocked Heatsink
Perk 1: Heal Clip or Attrition Orbs
Perk 2: Incandescent or Onslaught (also good: Burning Ambition)
Masterwork: Cooling Efficiency
Origin Trait: Imperial Allegiance"
"Zealous Ideal","1863583117","Delicate Tuning | Dynamic Sway Reduction | Tap the Trigger | Zen Moment | Tap the Trigger | Zen Moment | Projection Fuse | Projection Fuse | Dynamic Sway Reduction | Delicate Tuning | Chambered Compensator | Chambered Compensator | Onslaught | Onslaught","1341464476|1359896290|1523649716|1748774930|1890422124|2387244414|2800182654|2969185026|3060983774|307683764|3399528164|3661387068|95528736|956288240","GodPVP","","Zealous Ideal PVP God Roll","Barrel: Chambered Compensator
Magazine: Projection Fuse
Perk 1: Delicate Tuning or Dynamic Sway Reduction (also good: Zen Moment)
Perk 2: Tap the Trigger or Onslaught
Masterwork: Range
Origin Trait: Imperial Allegiance"
"Afterlight","3228630258","Fluted Barrel | Accelerated Coils | Reservoir Burst | Lead from Gold | Fluted Barrel | Destabilizing Rounds | Ambitious Assassin | Destabilizing Rounds | Reservoir Burst | Lead from Gold | Ambitious Assassin | Discord | Accelerated Coils | Discord","1124871858|1279785143|1427256713|1556840489|1840239774|1926441324|2010801679|2048641572|254337357|3442762221|3797647183|3978468247|689005463|906981559","GodPVE","","Afterlight PVE God Roll","Barrel: Fluted Barrel
Magazine: Accelerated Coils
Perk 1: Discord or Lead from Gold (also good: Ambitious Assassin)
Perk 2: Reservoir Burst (also good: Destabilizing Rounds)
Masterwork: Charge Time
Origin Trait: Willing Vessel"
"Afterlight","3228630258","Cornered | Under Pressure | Cornered | Successful Warm-Up | Arrowhead Brake | Particle Repeater | Under Pressure | Particle Repeater | Discord | Successful Warm-Up | Arrowhead Brake | Discord","1008128453|1645158859|1799762209|2652708987|3048246338|3081681954|3755250867|3868766766|3978468247|617966211|839105230|906981559","GodPVP","","Afterlight PVP God Roll","Barrel: Arrowhead Break
Magazine: Particle Repeater
Perk 1: Under Pressure or Discord
Perk 2: Successful Warm-up or Cornered
Masterwork: Range or Stability
Origin Trait: Willing Vessel"
"Warlord's Spear","1968711238","Fluted Barrel | Rewind Rounds | Fluted Barrel | Light Battery | Detonator Beam | Light Battery | Rewind Rounds | Jolting Feedback | Skulking Wolf | Detonator Beam | Jolting Feedback","1124871858|1563455254|1840239774|2073750249|222783511|2749775325|3418782618|3966416502|3989629871|4198902903|717070634","GodPVE","","Warlord's Spear PVE God Roll","Barrel: Fluted Barrel
Battery: Light Battery
Perk 1: Rewind Rounds
Perk 2: Detonator Beam (also good: Jolting Feedback)
Masterwork: Handling"
"Warlord's Spear","1968711238","Dynamic Sway Reduction | Smallbore | High-Impact Reserves | High-Impact Reserves | Projection Fuse | Smallbore | Target Lock | Projection Fuse | Dynamic Sway Reduction | Target Lock | Skulking Wolf","1359896290|1482024992|2002547233|2213355989|2800182654|2860123632|2939589096|2969185026|3060983774|365154968|3989629871","GodPVP","","Warlord's Spear PVP God Roll","Barrel: Smallbore
Battery: Projection Fuse
Perk 1: Dynamic Sway Reduction or High-Impact Reserves
Perk 2: Target Lock
Masterwork: Range"
"Unsworn","1303313141","Fluted Barrel | Fluted Barrel | Light Battery | Detonator Beam | Light Battery | Shoot to Loot | Killing Tally | Tear | Shoot to Loot | Detonator Beam | Killing Tally | Tear","1124871858|1840239774|2073750249|222783511|2749775325|2840833776|2896748467|3244229373|3700496672|4198902903|557221067|960997401","GodPVE","","Unsworn PVE God Roll","Barrel: Fluted Barrel
Battery: Light Battery
Perk 1: Shoot to Loot (also good: Tear)
Perk 2: Detonator Beam (also good: Killing Tally)
Masterwork: Handling"
"Peculiar Charm","3620277039","Smallbore | Lone Wolf | Lone Wolf | Rangefinder | Smallbore | Accurized Rounds | Accurized Rounds | Hand-Laid Stock | Headseeker | Headseeker | Rangefinder | Hand-Laid Stock","1482024992|2073244114|2579169598|2846385770|2860123632|3142289711|3267421167|3845057226|4045335048|460017080|509594246|990298390","GodPVP","","Peculiar Charm PVP God Roll","Barrel: Smallbore
Magazine: Accurized Rounds
Perk 1: Rangefinder (also good: Lone Wolf)
Perk 2: Headseeker
Masterwork: Range
Origin Trait: Hand-Laid Stock"
"Ribbontail","3576134513","Fluted Barrel | Subsistence | Fluted Barrel | Light Battery | Detonator Beam | Light Battery | Killing Tally | Tenacity | Detonator Beam | Subsistence | Tenacity | Killing Tally","1124871858|1820235745|1840239774|2073750249|222783511|2749775325|2896748467|3911709647|4198902903|4245865861|483923727|557221067","GodPVE","","Ribbontail PVE God Roll","Barrel: Fluted Barrel
Battery: Light Battery
Perk 1: Subsistence
Perk 2: Killing Tally or Detonator Beam
Masterwork: Handling
Origin Trait: Tenacity"
"Keraunios","2029899814","Fluted Barrel | Classy Contender | Fluted Barrel | Light Battery | Detonator Beam | Rolling Storm | Light Battery | Rolling Storm | Triple Tap | Recycled Energy | Recycled Energy | Jolting Feedback | Detonator Beam | Triple Tap | Jolting Feedback","1124871858|1702976605|1840239774|2073750249|222783511|2633604463|2749775325|3218042543|3400784728|3555252274|3713215006|3966416502|4198902903|573122728|717070634","GodPVE","Version: S26","Keraunios PVE God Roll","Barrel: Fluted Barrel
Battery: Light Battery
Perk 1: Recycled Energy or Triple Tap
Perk 2: Jolting Feedback or Detonator Beam (also good: Rolling Storm)
Masterwork: Handling"
"Keraunios","2029899814","Closing Time | Dynamic Sway Reduction | Smallbore | Classy Contender | Smallbore | Dynamic Sway Reduction | Tactical Battery | Closing Time | Tactical Battery","1194056669|1359896290|1482024992|1702976605|2860123632|3060983774|3256371876|3955464425|732557052","GodPVP","Version: S26","Keraunios PVP God Roll","Barrel: Smallbore
Battery: Tactical Battery
Perk 1: Dynamic Sway Reduction
Perk 2: Closing Time
Masterwork: Stability"
"Incisor","1711056134","Hatchling | Corkscrew Rifling | Subsistence | Projection Fuse | Killing Tally | Projection Fuse | Slice | Corkscrew Rifling | Subsistence | Killing Tally | Hatchling | Slice","102912326|111235976|1820235745|2800182654|2896748467|2969185026|3422796781|4090651448|4245865861|557221067|831391274|923806249","GodPVE","","Incisor PVE God Roll","Barrel: Corkscrew Rifling
Magazine: Projection Fuse
Perk 1: Subsistence or Slice
Perk 2: Killing Tally or Hatchling
Masterwork: Handling or Range"
"Incisor","1711056134","Kill Clip | Dynamic Sway Reduction | Smallbore | Tap the Trigger | Tap the Trigger | Smallbore | Kill Clip | Dynamic Sway Reduction | Tactical Battery | Slice | Tactical Battery | Slice","1015611457|1359896290|1482024992|1523649716|1890422124|2860123632|2923251173|3060983774|3256371876|3422796781|732557052|923806249","GodPVP","","Incisor PVP God Roll","Barrel: Smallbore
Magazine: Tactical Battery
Perk 1: Slice or Dynamic Sway Reduction
Perk 2: Tap the Trigger or Kill Clip
Masterwork: Range"
"Incisor (Adept)","2839600459","Hatchling | Corkscrew Rifling | Subsistence | Projection Fuse | Killing Tally | Projection Fuse | Slice | Corkscrew Rifling | Subsistence | Killing Tally | Hatchling | Slice","102912326|111235976|1820235745|2800182654|2896748467|2969185026|3422796781|4090651448|4245865861|557221067|831391274|923806249","GodPVE","","Incisor PVE God Roll","Barrel: Corkscrew Rifling
Magazine: Projection Fuse
Perk 1: Subsistence or Slice
Perk 2: Killing Tally or Hatchling
Masterwork: Handling or Range"
"Incisor (Adept)","2839600459","Kill Clip | Dynamic Sway Reduction | Smallbore | Tap the Trigger | Tap the Trigger | Smallbore | Kill Clip | Dynamic Sway Reduction | Tactical Battery | Slice | Tactical Battery | Slice","1015611457|1359896290|1482024992|1523649716|1890422124|2860123632|2923251173|3060983774|3256371876|3422796781|732557052|923806249","GodPVP","","Incisor PVP God Roll","Barrel: Smallbore
Magazine: Tactical Battery
Perk 1: Slice or Dynamic Sway Reduction
Perk 2: Tap the Trigger or Kill Clip
Masterwork: Range"
"Chronophage","1886840007","Fluted Barrel | Demolitionist | Repulsor Brace | Enhanced Battery | Shoot to Loot | Demolitionist | Shoot to Loot | One for All | Repulsor Brace | One for All","1840239774|1906147653|2541826827|2680121939|2840833776|3523296417|3700496672|4049631843|776531651|859780267","GodPVE","","Chronophage PVE God Roll","Barrel: Fluted Barrel
Battery: Enhanced Battery
Perk 1: Shoot to Loot (also good: Repulsor Brace)
Perk 2: One for All (also good: Demolitionist)
Masterwork: Reload Speed"
"Chronophage","1886840007","Smallbore | Desperate Measures | High Ground | High Ground | Enhanced Battery | Desperate Measures | Smallbore | Elemental Capacitor | Enhanced Battery | Elemental Capacitor","1482024992|2109543898|2140591236|2319119708|2680121939|2799030358|2860123632|3511092054|3839493627|711234314","GodPVP","","Chronophage PVP God Roll","Barrel: Smallbore
Battery: Enhanced Battery
Perk 1: Elemental Capacitor
Perk 2: High Ground (also good: Desperate Measures)
Masterwork: Range"
"Acasia's Dejection","1471212226","Fluted Barrel | Reconstruction | Rewind Rounds | Fluted Barrel | Incandescent | Enhanced Battery | Frenzy | Rewind Rounds | Enhanced Battery | Frenzy | Incandescent | Reconstruction","1124871858|1523832109|1563455254|1840239774|2675184851|2680121939|3007133316|3418782618|3839493627|4104185692|4293542123|461595545","GodPVE","","Acasia's Dejection PVE God Roll","Barrel: Fluted Barrel
Battery: Enhanced Battery
Perk 1: Rewind Rounds (also good: Reconstruction)
Perk 2: Incandescent (also good: Frenzy)"
"Acasia's Dejection","1471212226","Fluted Barrel | Perpetual Motion | Fluted Barrel | High-Impact Reserves | Perpetual Motion | High-Impact Reserves | Enhanced Battery | Enhanced Battery","1124871858|1428297954|1840239774|2002547233|2014892510|2213355989|2680121939|3839493627","GodPVP","","Acasia's Dejection PVP God Roll","Barrel: Fluted Barrel
Battery: Enhanced Battery
Perk 1: Perpetual Motion
Perk 2: High-Impact Reserves"
"Acasia's Dejection (Adept)","3493494807","Fluted Barrel | Reconstruction | Rewind Rounds | Fluted Barrel | Incandescent | Enhanced Battery | Frenzy | Rewind Rounds | Enhanced Battery | Frenzy | Incandescent | Reconstruction","1124871858|1523832109|1563455254|1840239774|2675184851|2680121939|3007133316|3418782618|3839493627|4104185692|4293542123|461595545","GodPVE","","Acasia's Dejection PVE God Roll","Barrel: Fluted Barrel
Battery: Enhanced Battery
Perk 1: Rewind Rounds (also good: Reconstruction)
Perk 2: Incandescent (also good: Frenzy)"
"Acasia's Dejection (Adept)","3493494807","Fluted Barrel | Perpetual Motion | Fluted Barrel | High-Impact Reserves | Perpetual Motion | High-Impact Reserves | Enhanced Battery | Enhanced Battery","1124871858|1428297954|1840239774|2002547233|2014892510|2213355989|2680121939|3839493627","GodPVP","","Acasia's Dejection PVP God Roll","Barrel: Fluted Barrel
Battery: Enhanced Battery
Perk 1: Perpetual Motion
Perk 2: High-Impact Reserves"
"Synanceia","1823308496","Eager Edge | Eager Edge | Balanced Guard | Wellspring | Honed Edge | Assassin's Blade | Wellspring | Assassin's Blade | Tenacity | Honed Edge | Tenacity | Balanced Guard","1618208178|2077819806|2338887882|2675361166|2827049491|354401740|3592538738|3678483220|3911709647|4270598587|483923727|52780822","GodPVP","","Synanceia PVP God Roll","Blade: Honed Edge
Guard: Balanced Guard
Perk 1: Assassin’s Blade (also good: Wellspring)
Perk 2: Eager Edge
Masterwork: Impact
Origin Trait: Tenacity"
"Summum Bonum","3569407878","Swordmaster's Guard | Hungry Edge | Relentless Strikes | Chaos Reshaped | Chain Reaction | Tireless Blade | Swordmaster's Guard | Chaos Reshaped | Relentless Strikes | Tireless Blade | Hungry Edge | Chain Reaction","125241418|1498024248|1749209109|1817983009|2396489472|2590710093|269888150|3640170453|4085959009|4183521337|436053704|598607952","GodPVE","","Summum PVE God Roll","Blade: Hungry Edge
Guard: Swordmaster’s Guard
Perk 1: Tireless Blade (also good: Relentless Strikes)
Perk 2: Chain Reaction or Chaos Reshaped
Masterwork: Impact"
"Summum Bonum","3569407878","Swordmaster's Guard | Relentless Strikes | Chaos Reshaped | Swordmaster's Guard | Bait and Switch | Chaos Reshaped | Jagged Edge | Surrounded | Bait and Switch | Jagged Edge | Relentless Strikes | Surrounded","125241418|1749209109|1817983009|269888150|3078487919|3640170453|3666208348|3708227201|3744057135|3959569796|4085959009|781192741","GodPVP","","Summum PVP God Roll","Blade: Jagged Edge
Guard: Swordmaster’s Guard
Perk 1: Relentless Strikes
Perk 2: Bait and Switch or Chaos Reshaped (also good: Surrounded)
Masterwork: Impact"
"Summum Bonum (Adept)","2001697739","Swordmaster's Guard | Hungry Edge | Relentless Strikes | Chaos Reshaped | Chain Reaction | Tireless Blade | Swordmaster's Guard | Chaos Reshaped | Relentless Strikes | Tireless Blade | Hungry Edge | Chain Reaction","125241418|1498024248|1749209109|1817983009|2396489472|2590710093|269888150|3640170453|4085959009|4183521337|436053704|598607952","GodPVE","","Summum PVE God Roll","Blade: Hungry Edge
Guard: Swordmaster’s Guard
Perk 1: Tireless Blade (also good: Relentless Strikes)
Perk 2: Chain Reaction or Chaos Reshaped
Masterwork: Impact"
"Summum Bonum (Adept)","2001697739","Swordmaster's Guard | Relentless Strikes | Chaos Reshaped | Swordmaster's Guard | Bait and Switch | Chaos Reshaped | Jagged Edge | Surrounded | Bait and Switch | Jagged Edge | Relentless Strikes | Surrounded","125241418|1749209109|1817983009|269888150|3078487919|3640170453|3666208348|3708227201|3744057135|3959569796|4085959009|781192741","GodPVP","","Summum PVP God Roll","Blade: Jagged Edge
Guard: Swordmaster’s Guard
Perk 1: Relentless Strikes
Perk 2: Bait and Switch or Chaos Reshaped (also good: Surrounded)
Masterwork: Impact"
"Sullen Claw","1085743380","Imperial Allegiance | Swordmaster's Guard | Whirlwind Blade | Vorpal Weapon | Eager Edge | Relentless Strikes | Eager Edge | Swordmaster's Guard | Imperial Allegiance | Bait and Switch | Vorpal Weapon | Bait and Switch | Whirlwind Blade | Relentless Strikes | Tempered Edge | Tempered Edge","1164078247|125241418|147913470|1546637391|1618208178|1749209109|2077819806|269888150|2957461671|3078487919|3418165135|3744057135|3913600130|4085959009|766579919|938542991","GodPVE","","Sullen Claw PVE God Roll","Blade: Tempered Edge
Guard: Swordmaster’s Guard
Perk 1: Eager Edge (also good: Vorpal Weapon, Relentless Strikes)
Perk 2: Whirlwind Blade (also good: Bait and Switch)
Masterwork: Impact"
"Sullen Claw","1085743380","Imperial Allegiance | Eager Edge | Eager Edge | Balanced Guard | Honed Edge | Imperial Allegiance | Assassin's Blade | Assassin's Blade | Honed Edge | Balanced Guard","1164078247|1618208178|2077819806|2338887882|2827049491|2957461671|354401740|3678483220|4270598587|52780822","GodPVP","","Sullen Claw PVP God Roll","Blade: Honed Edge
Guard: Balanced Guard
Perk 1: Eager Edge
Perk 2: Assassin’s Blade
Masterwork: Impact"
"Ill Omen","3794274730","Swordmaster's Guard | Enduring Blade | Relentless Strikes | Swordmaster's Guard | Unrelenting | Cold Steel | Surrounded | Enduring Blade | Cold Steel | Relentless Strikes | Surrounded | Unrelenting","125241418|1261178282|1749209109|269888150|3108830275|3650930298|3708227201|3885243590|405677814|4085959009|781192741|855168139","GodPVE","","Ill Omen PVE God Roll","Blade: Enduring Blade
Guard: Swordmaster’s Guard
Perk 1: Unrelenting (also good: Relentless Strikes)
Perk 2: Cold Steel (also good: Surrounded)
Masterwork: Impact"
"Ill Omen","3794274730","Enduring Blade | Vorpal Weapon | Balanced Guard | Vorpal Weapon | Cold Steel | Enduring Blade | Cold Steel | Valiant Charge | Valiant Charge | Balanced Guard","1261178282|1546637391|2338887882|3418165135|3650930298|3885243590|405677814|4274613598|4274614370|52780822","GodPVP","","Ill Omen PVP God Roll","Blade: Enduring Blade
Guard: Balanced Guard
Perk 1: Valiant Charge
Perk 2: Cold Steel (also good: Vorpal Weapon)
Masterwork: Impact"
"Hero of Ages","2139640995","Swordmaster's Guard | En Garde | Tireless Blade | Swordmaster's Guard | Honed Edge | Honed Edge","125241418|1685431615|2590710093|269888150|2827049491|4270598587","GodPVE","","Hero of Ages PVE God Roll","Blade: Honed Edge
Guard: Swordmaster’s Guard
Perk 1: Tireless Blade
Perk 2: En Garde 
Masterwork: Impact"
"Hero of Ages","2139640995","Swordmaster's Guard | Hungry Edge | Tireless Blade | Swordmaster's Guard | Assassin's Blade | Hungry Edge","125241418|1498024248|2590710093|269888150|354401740|436053704","GodPVP","","Hero of Ages PVP God Roll","Blade: Hungry Edge
Guard: Swordmaster’s Guard
Perk 1: Tireless Blade
Perk 2: Assassin’s Blade
Masterwork: Impact"
